pane,fragment,Rep,mfr,element,ppm
AA,7,1,A,Mg,23900
AA,7,1,A,Mn,18.69
AA,7,1,A,Na,103030
AA,7,1,A,Nd,3.96
AA,7,1,A,Pb,1.136
AA,7,1,A,Rb,2.21
AA,7,1,A,Sr,32.31
AA,7,1,A,Ti,180.1
AA,7,1,A,Zr,53.5
AA,7,2,A,Al,2982
AA,7,2,A,Ba,11.55
AA,7,2,A,Ca,65470
AA,7,2,A,Ce,9.65
AA,7,2,A,Fe,663
AA,7,2,A,Hf,1.39
AA,7,2,A,K,1269
AA,7,2,A,La,4.36
AA,7,2,A,Li,2.31
AA,7,2,A,Mg,23700
AA,7,2,A,Mn,18.63
AA,7,2,A,Na,102950
AA,7,2,A,Nd,3.77
AA,7,2,A,Pb,1.172
AA,7,2,A,Rb,2.08
AA,7,2,A,Sr,32.41
AA,7,2,A,Ti,175.7
AA,7,2,A,Zr,52.4
AA,7,3,A,Al,3002
AA,7,3,A,Ba,11.58
AA,7,3,A,Ca,65970
AA,7,3,A,Ce,9.73
AA,7,3,A,Fe,698
AA,7,3,A,Hf,1.31
AA,7,3,A,K,1270
AA,7,3,A,La,4.36
AA,7,3,A,Li,2.23
