"","x","y"
"1799",202,576
"1800",202,575
"1801",202,562
"1802",202,561
"1803",202,560
"1804",202,554
"1805",202,545
"1806",202,507
"1807",202,478
"1808",202,475
"1809",202,473
"1810",202,470
"1811",202,453
"1812",202,450
"1813",202,446
"1814",202,442
"1815",202,437
"1816",202,433
"1817",202,432
"1818",202,431
"1819",202,427
"1820",202,426
"1821",202,424
"1822",202,415
"1823",202,412
"1824",202,411
"1825",202,406
"1826",202,405
"1827",202,402
"1828",202,401
"1829",202,396
"1830",202,395
"1831",202,391
"1832",202,386
"1833",202,385
"1834",202,379
"1835",202,378
"1836",202,377
"1837",202,341
"1838",202,309
"1839",202,295
"1840",202,272
"1841",202,271
"1842",202,270
"1843",202,269
"1844",202,268
"1845",202,267
"1846",202,192
"1847",202,191
"1848",202,190
"1849",202,189
"1850",202,188
"1852",201,651
"1853",201,650
"1854",201,637
"1855",201,635
"1856",201,611
"1857",201,606
"1858",201,595
"1859",201,593
"1860",201,574
"1861",201,573
"1862",201,545
"1863",201,481
"1864",201,476
"1865",201,474
"1866",201,471
"1867",201,468
"1868",201,452
"1869",201,449
"1870",201,445
"1871",201,441
"1872",201,440
"1873",201,436
"1874",201,435
"1875",201,430
"1876",201,425
"1877",201,424
"1878",201,414
"1879",201,410
"1880",201,409
"1881",201,404
"1882",201,400
"1883",201,399
"1884",201,394
"1885",201,393
"1886",201,390
"1887",201,389
"1888",201,384
"1889",201,381
"1890",201,380
"1891",201,377
"1892",201,341
"1893",201,309
"1894",201,295
"1895",201,276
"1896",201,275
"1897",201,274
"1898",201,273
"1899",201,193
"1900",201,187
"1901",201,186
"1902",201,185
"1903",201,184
"1904",201,183
"1905",201,182
"1907",200,653
"1908",200,652
"1909",200,636
"1910",200,634
"1911",200,611
"1912",200,607
"1913",200,595
"1914",200,593
"1915",200,572
"1916",200,545
"1917",200,510
"1918",200,509
"1919",200,508
"1920",200,482
"1921",200,480
"1922",200,477
"1923",200,474
"1924",200,471
"1925",200,469
"1926",200,448
"1927",200,444
"1928",200,443
"1929",200,439
"1930",200,438
"1931",200,434
"1932",200,433
"1933",200,432
"1934",200,429
"1935",200,428
"1936",200,413
"1937",200,412
"1938",200,408
"1939",200,403
"1940",200,402
"1941",200,398
"1942",200,397
"1943",200,392
"1944",200,388
"1945",200,387
"1946",200,383
"1947",200,382
"1948",200,377
"1949",200,341
"1950",200,309
"1951",200,294
"1952",200,293
"1953",200,280
"1954",200,279
"1955",200,278
"1956",200,277
"1957",200,212
"1958",200,211
"1959",200,181
"1962",199,655
"1963",199,654
"1964",199,636
"1965",199,634
"1966",199,611
"1967",199,607
"1968",199,594
"1969",199,592
"1970",199,571
"1971",199,545
"1972",199,514
"1973",199,513
"1974",199,512
"1975",199,511
"1976",199,483
"1977",199,480
"1978",199,477
"1979",199,475
"1980",199,472
"1981",199,469
"1982",199,466
"1983",199,465
"1984",199,451
"1985",199,450
"1986",199,447
"1987",199,446
"1988",199,442
"1989",199,441
"1990",199,437
"1991",199,431
"1992",199,427
"1993",199,426
"1994",199,417
"1995",199,416
"1996",199,411
"1997",199,407
"1998",199,406
"1999",199,401
"2000",199,400
"2001",199,396
"2002",199,391
"2003",199,390
"2004",199,386
